如果该图为在大气环流模式，S线代表地球表面，则	气流②自西向东运动
运动_0（气流②，自西向东，运动） 运动
随年份的推移，臭氧总量	最大值所在位置南移
运动_0（臭氧总量最大值所在位置，南，移） 南移
由08时到20时，图中	低气压中心向东北方向移动并增强
运动_0（低气压中心，东北方向，移动并增强） 移动
据图可以推断，从1982年到2004年该城区	商业区向城区中心集中
运动_0（该城区商业区，城区中心，集中） 集中
该城市	向北扩展约36千米
运动_0（该城市，向北，扩展36千米） 扩展
中央决定启动实施一方是独生子女的夫妇可生育两个孩子的政策。这一政策的实施可能使	人口向国外进行大规模迁移
运动_0（人口，向国外，大规模迁移） 迁移
下列关于A、B两地大气状况的叙述，正确的是	A地空气受热下沉
运动_0（A地空气，下，沉）其他陈述_1（A地空气，受热，#） 下沉
下列关于A、B两地大气状况的叙述，正确的是	B地空气冷却下沉
运动_0（B地空气，下，沉）其他陈述_1（B地空气，冷却，#） 下沉
图示河流	大致从北向南流
运动_0（图示河流，从北向南，流） 从-南-
关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	冷锋过境，锋前暖气团湿度较大
运动_0（冷锋，#，过境） 比较_1（锋前暖气团，湿度，较大） 过境 较
