某山体由岩浆岩组成。该岩浆岩表面无气孔，矿物颗粒粗大，对其成因的合理推测是	岩浆冷却较快
如图示台风中心向北移动，在浙江北部沿海登陆时，上海地区的地面天气状况是	气压降低
假设一个月内会发生月食现象，则月球从图示位置开始，到出现月食，大约需要的天数是	3天
在图6所示四地中，观测者正朝西南方向观测日食的是	甲
下列选项中，符合乙地农业地域类型特点的是	机械化水平高
2001年1月至2012年4月，我国上市企业总部在四大区域间的迁移表现为	东部地区上市企业总部主要向东北地区迁移
下列因素中，影响我国企业总部布局的主要是	原料
河流的河床形态，受流域内多种因素的影响，下列因素中，对河床形态影响不大的是	岩石性质
下列因素中，对该省多年平均年雾日数空间分布影响最大的是	河流泥沙含量
夏季，我国部分城市城区常因暴雨而出现积水成灾的内涝现象。下列措施中，对减轻此灾害基本无效的是	优化城区雨污管网
图4为地震灾害后城市重建选址地质因素分析示意图，从地质安全角度考虑，图示甲.乙.丙.丁四个区域中，最适宜城市重建的是	甲
图9中甲点所处的地形是	山谷
与开罗以北地区相比，在开罗以东地区建设新首都的优势条件是	农业发达
下列四地中升温幅度最大的是	蒙古高原
在该湖①②③④四湖区中，最适宜淡水鱼生长的湖区是	①
此时世界各地可能出现的现象是	美国中部小麦黄熟
2002年11月20日9时（北京时间），中国第19次南极科学考察队乘“雪龙号”自上海出发，此时长城站所在地的区时为	19日19时
下列几组省区（市）按①-②-③-④排列的是	山东-四川-西藏-江苏
图2为南亚某岛示意图，图中	该岛的东、西岸各有一山脉纵贯
依据图11与图12，下列地区经济活动获得的附加值由高到低排序，正确的是	欧洲、美国、韩国、中国
对河谷处的地质构造类型两侧地壳抬升幅度的判断，正确的是	向斜东侧大
